description,date,title,name_medio,scope_medio
"El titular de Defensa Civil fue contundente sobre la presencia de personas que no sean bomberos en las zonas afectadas por las llamas.
                                                                                Desde hace días distintos focos de incendio tienen lugar en la provincia de Córdoba. Bomberos de distintas regionales trabajan para apagar las llamas.",2020-09-24,"Diego Concha: Ningún civil debe estar en un incendio, ponen en riesgo su integridad física",La Voz,Provincial
"Así lo señala un reporte enviado por la Municipalidad de Córdoba. 
                                                                        Desde el mes de agosto, la Municipalidad de Córdoba cuenta con tres micro estaciones que miden la concentración de material particulado en el aire de la ciudad, ya sea por causas antropológicas como naturales, el cual es uno de los componentes que determina su calidad.",2020-09-24,"A pesar de los incendios, la calidad en el aire en la Capital se mantiene ""estable""",La Voz,Provincial
"Jujuy, Tucumán y Catamarca registran la peor situación en estos momentos.",2020-09-24,Ya son 12 las provincias que registran focos de incendio y en 3 las llamas están fuera de control,Clarín,Nacional
"Lo anunció hoy el gobernador Juan Schiaretti, al llevar la asistencia a 1.000 millones de pesos ante la grave situación que se vive en regiones serranas. También dispuso la adquisición de elementos para combatir el fuego en zonas cercanas a viviendas.",2020-09-24,Córdoba: amplían el fondo para situaciones de desastre ante el avance de los incendios,Télam,Nacional
"Jujuy, Tucumán y Catamarca tienen incendios que no pueden detenerse y otras doce provincias son afectadas por focos de disinta índole.",2020-09-24,"Tres provincias registran focos de incendios ""fuera de control"", según el reporte diario del SNMF",Télam,Nacional
"El biólogo ambientalista Federico Kopta sostuvo que, si bien el ecosistema tiene capacidad de recuperarse, &amp;ldquo;eso no ocurre si la quema se da de manera reiterada&amp;rdquo;.",2020-09-24,Sostienen que los incendios ocasionan desastre ambiental y piden políticas de prevención,Télam,Nacional
"El mayor humedal del mundo ubicado en la región oeste de Brasil, experimentó un aumento de focos de fuego de  un  211% por encima del promedio.",2020-09-24,El Pantanal brasileño registró en septiembre los peores incendios de la historia,Télam,Nacional
"El fotógrafo Franco Petrini (@Mapspetrini) envió a La Voz imágenes que muestran la magnitud de los incendios que devastaron cientos de hectáreas en la zona de Bosque Alegre y en el valle de Paravachasca, cerca de Alta Gracia. Hay imágenes aéreas y desde tierra que muestran la tarea de los pilotos de aviones hidrantes y de los bomberos voluntarios. Todo lo publicado sobre los incendios en Córdoba.",2020-09-24,Desde el aire: lo que dejó el paso del fuego por Bosque Alegre y el valle de Paravachasca,La Voz,Provincial
En las localidades de las sierras chicas y el sector sudoeste de la capital provincial persisten la baja visibilidad y la tóxica nubosidad por el humo.,2020-09-24,Se mantienen activos los incendios forestales en las zonas del valle de Punilla,Télam,Nacional
"El fondo ""pasará de $ 300 millones a 1.000 millones”, confirmó el ministro de Desarrollo Social Massei.
                                                                    El gobernador Juan Schiaretti decidió ampliar el Fondo Permanente Para Atención de Situaciones de Desastre para paliar las consecuencias que vienen dejando los incendios que azotan desde hace días distintos puntos de la serranía cordobesa.",2020-09-24,Incendios: Schiaretti dispuso aumentar los fondos para asistir a los afectados y anunció la incorporación de nuevos kits forestales,La Voz,Provincial
"""Pasará de $ 300 millones a 1.000 millones” confirmó el ministro de Desarrollo Social Massei.
                        El Ministro de Desarrollo Social, Carlos Massei, informó este jueves que el gobernador Juan Schiaretti ordenó ampliar el Fondo Permanente Para Atención de Situaciones de Desastre para paliar las consecuencias que vienen dejando los incendios que azotan desde hace días distintos puntos de la serranía cordobesa.",2020-09-24,Incendios en Córdoba: Schiaretti dispuso aumentar los fondos para asistir a los afectados,La Voz,Provincial
,2020-09-24,Incendios en Córdoba: viaje al corazón del foco que castigó al Observatorio Bosque Alegre,La Voz,Provincial
Así se veía el miércoles el extenso frente de incendio que llegó desde Las Jarillas hasta Bosque Alegre y avanzó por otras zonas cercanas a Alta Gracia. El video se viralizó en redes sociales.,2020-09-24,"Sobrevuelo en helicóptero por los incendios, cerca de Alta Gracia",La Voz,Provincial
CORDOBA.- Se avecina otra jornada complicada en la lucha contra los incendios que afectan distintos puntos de la provincia de Córdoba. Las altas temperaturas (hoy se esperan 32 grados) y el viento norte continúan y la sequía es extrema.,2020-09-24,Córdoba sigue en llamas: las altas temperaturas complican el operativo en Punilla y Santa María,La Nación,Nacional
"Los principales focos se mantienen en Giardino, Pampa de Olaen y Villa Carlos Paz. Para este jueves se esperan temperaturas superiores a los 30 grados y baja humedad.",2020-09-24,Los incendios en Córdoba siguen sin control y las lluvias recién traerían alivio el viernes por la noche,Clarín,Nacional
"Fotorreportaje de Pedro Castillo, de La Voz. El miércoles fue un día desolador para las serranías de Falda del Carmen, las Jarillas y Bosque Alegre. La estación astrofísica estuvo en vilo por las llamas y la cúpula del Observatorio se salvó por poco. Todo lo publicado sobre los incendios.",2020-09-24,La jornada más triste de Bosque Alegre: coraje y desesperación en la lucha contra los incendios,La Voz,Provincial
"Una postal que se repite entre bomberos voluntarios y baquianos. Fotos de Pedro Castillo (La Voz).
        La anécdota cambia de lugar y de fecha, pero siempre se repite. La más reciente se vivió en el predio de un restaurante de Falda del Carmen, donde los bomberos hacían base mientras combatían los focos de incendio en la zona de Bosque Alegre, Las Jarillas y San Antonio de Arredondo.",2020-09-24,Combatir un incendio y después anotarse para el próximo: una escena que no falla en las Sierras de Córdoba,La Voz,Provincial
"Se mantendrían hasta la madrugada del sábado y provocaría un importante descenso en las temperaturas máximas.
        En medio de una seguidilla de jornadas con incendios en Córdoba, complicadas por las altas temperaturas, fuertes vientos y escasa humedad, el Servicio Meteorlógico Nacional prevé en su pronóstico extendido probables lluvias para la noche del viernes y la madrugada del sábado.",2020-09-24,Incendios en Córdoba: las lluvias traerían un alivio el viernes por la noche,La Voz,Provincial
Llegarían por la noche del viernes y se mantendrían hasta la madrugada del sábado. Habría una importante baja en las temperaturas máximas.,2020-09-24,Incendios en Córdoba: esperan que el viernes las lluvias traigan alivio,La Voz,Provincial
Las llamas preocupan en Villa Carlos Paz. En las próximas horas habrá fuertes ráfagas y altas temperaturas.,2020-09-24,Incendios en Córdoba: los bomberos combaten tres focos y esperan malas condiciones para este jueves,Clarín,Nacional
Las llamas preocupan en Villa Carlos Paz. En las próximas horas habrá fuertes ráfagas y altas temperaturas.,2020-09-24,Incendios en Córdoba: los bomberos combaten tres focos y esperan malas condiciones para este jueves,Clarín,Nacional
